時間帯,年齢,性別,来場者数
2018-08-15 11:00:00,50代,女性,1
2018-08-15 16:00:00,30代,男性,1
2018-08-16 11:00:00,10代,女性,1
2018-08-16 11:00:00,30代,女性,3
2018-08-16 11:00:00,30代,男性,2
2018-08-16 11:00:00,50代,女性,1
2018-08-16 11:00:00,50代,男性,1
2018-08-16 12:00:00,10代,男性,1
2018-08-16 12:00:00,50代,女性,1
2018-08-16 12:00:00,70代以上,男性,1
2018-08-16 13:00:00,10代,男性,1
2018-08-16 14:00:00,30代,女性,1
2018-08-16 14:00:00,50代,男性,1
2018-08-16 15:00:00,10代,男性,1
2018-08-16 15:00:00,30代,女性,1
2018-08-16 15:00:00,50代,男性,1
2018-08-17 08:00:00,30代,男性,1
2018-08-17 09:00:00,70代以上,男性,1
2018-08-17 10:00:00,10代,女性,1
2018-08-17 10:00:00,50代,男性,1
2018-08-17 11:00:00,10代,女性,2
2018-08-17 11:00:00,30代,男性,1
2018-08-17 11:00:00,50代,男性,3
2018-08-17 12:00:00,10代,女性,1
2018-08-17 12:00:00,30代,男性,1
2018-08-17 12:00:00,50代,女性,2
2018-08-17 13:00:00,10代,女性,2
2018-08-17 13:00:00,30代,女性,5
2018-08-17 13:00:00,30代,男性,2
2018-08-17 13:00:00,50代,女性,3
2018-08-17 13:00:00,50代,男性,1
2018-08-17 16:00:00,10代,女性,2
2018-08-17 16:00:00,50代,男性,2
2018-08-17 17:00:00,10代,女性,1
2018-08-17 17:00:00,30代,男性,1
2018-08-18 08:00:00,10代,女性,1
2018-08-18 08:00:00,10代,男性,1
2018-08-18 08:00:00,30代,女性,1
2018-08-18 08:00:00,50代,女性,1
2018-08-18 09:00:00,10代,女性,1
2018-08-18 09:00:00,50代,女性,1
2018-08-18 10:00:00,10代,女性,1
2018-08-18 10:00:00,30代,女性,2
2018-08-18 10:00:00,70代以上,男性,1
2018-08-18 11:00:00,50代,女性,1
2018-08-18 11:00:00,50代,男性,1
2018-08-18 12:00:00,50代,女性,1
2018-08-19 07:00:00,50代,女性,1
2018-08-19 08:00:00,10代,男性,1
2018-08-19 08:00:00,30代,女性,1
2018-08-19 08:00:00,30代,男性,1
2018-08-19 08:00:00,50代,女性,1
2018-08-19 09:00:00,30代,女性,1
2018-08-19 09:00:00,30代,男性,1
2018-08-19 09:00:00,50代,男性,1
2018-08-19 10:00:00,10代,女性,1
2018-08-19 10:00:00,50代,女性,1
2018-08-19 11:00:00,10代,女性,2
2018-08-19 11:00:00,10代,男性,1
2018-08-19 11:00:00,30代,男性,1
2018-08-19 12:00:00,50代,女性,1
2018-08-19 13:00:00,10代,女性,2
2018-08-19 13:00:00,10代,男性,3
2018-08-19 13:00:00,30代,女性,3
2018-08-19 13:00:00,30代,男性,2
2018-08-19 13:00:00,50代,女性,3
2018-08-19 13:00:00,50代,男性,1
2018-08-19 15:00:00,50代,女性,1
2018-08-19 15:00:00,70代以上,男性,1
2018-08-21 10:00:00,10代,男性,1
2018-08-21 12:00:00,50代,女性,1
2018-08-21 13:00:00,30代,女性,1
2018-08-21 13:00:00,50代,女性,1
2018-08-21 15:00:00,10代,女性,1
2018-08-22 09:00:00,10代,女性,1
2018-08-22 09:00:00,30代,男性,1
2018-08-23 11:00:00,10代,女性,1
2018-08-23 11:00:00,30代,女性,1
2018-08-23 11:00:00,50代,女性,1
2018-08-23 11:00:00,70代以上,男性,1
2018-08-23 13:00:00,30代,女性,1
2018-08-24 09:00:00,50代,女性,1
2018-08-24 10:00:00,10代,男性,1
2018-08-24 10:00:00,30代,男性,1
2018-08-24 10:00:00,50代,女性,1
2018-08-24 11:00:00,50代,男性,1
2018-08-24 12:00:00,10代,男性,1
2018-08-24 12:00:00,50代,男性,1
2018-08-24 13:00:00,10代,女性,1
2018-08-24 13:00:00,30代,女性,1
2018-08-24 13:00:00,30代,男性,2
2018-08-24 14:00:00,30代,女性,1
2018-08-24 14:00:00,30代,男性,1
2018-08-24 14:00:00,50代,女性,1
2018-08-24 14:00:00,50代,男性,1
2018-08-24 15:00:00,10代,女性,1
2018-08-24 15:00:00,10代,男性,1
2018-08-24 15:00:00,50代,女性,1
2018-08-24 15:00:00,70代以上,男性,1
2018-08-24 16:00:00,10代,女性,1
2018-08-24 16:00:00,30代,女性,1
2018-08-24 16:00:00,50代,女性,1
2018-08-24 17:00:00,30代,女性,1
2018-08-25 08:00:00,10代,女性,1
2018-08-25 08:00:00,30代,女性,3
2018-08-25 08:00:00,50代,女性,1
2018-08-25 08:00:00,50代,男性,1
2018-08-25 09:00:00,50代,女性,1
2018-08-25 12:00:00,30代,女性,1
2018-08-25 12:00:00,50代,女性,1
2018-08-25 12:00:00,50代,男性,1
2018-08-26 08:00:00,30代,女性,2
2018-08-26 08:00:00,50代,女性,2
2018-08-26 08:00:00,50代,男性,2
2018-08-26 09:00:00,30代,女性,2
2018-08-26 09:00:00,50代,女性,1
2018-08-26 09:00:00,70代以上,男性,1
2018-08-26 10:00:00,30代,女性,2
2018-08-26 10:00:00,30代,男性,5
2018-08-26 10:00:00,50代,男性,1
2018-08-26 11:00:00,30代,男性,3
2018-08-26 11:00:00,50代,女性,1
2018-08-26 11:00:00,50代,男性,3
2018-08-26 11:00:00,70代以上,女性,1
