取引日時,商品カテゴリ,商品ID,商品名,商品単価,原価,数量
2020/04/06 16:02:58,カフェ,36,抹茶,600,151.2,1
2020/04/06 16:12:29,入場料,8000184,減免0円　敬老,0,,1
2020/04/06 16:41:37,カフェ,36,抹茶,600,151.2,1
2020/04/06 17:18:52,入場料,8000183,入場料100円,100,,2
2020/04/06 17:18:52,入場料,8000181,入場料600円,600,,1
2020/04/06 17:52:56,入場料,8000182,入場料500円,500,,1
2020/04/07 13:07:37,物販,8000222,どら焼き(単品・持ち帰り),300,194,4
2020/04/07 13:07:37,物販,8000216,植治の庭を歩いてみませんか,2200,1728,1
2020/04/10 15:11:19,カフェ,33,どら焼,300,194,1
2020/04/10 15:11:19,カフェ,36,抹茶,600,151.2,1
2020/04/18 13:32:07,入場料,8000181,入場料600円,600,,2
2020/04/24 14:47:50,カフェ,35,ほうじ茶,600,38.7,2
2020/05/06 16:20:36,茶道,8000306,年会費（前期）,5000,,31
2020/05/19 16:40:00,カフェ,8000151,最中アイス,400,162,1
2020/05/19 18:53:19,カフェ,8000298,クラフトビールセット,1000,464,1
2020/05/20 15:38:41,カフェ,36,抹茶,600,151.2,8
2020/05/22 10:03:00,物販,8000016,年代史,500,400,1
2020/05/22 10:06:50,物販,8000087,A4　クリアファイル,300,67.34,1
2020/05/22 10:06:50,物販,8000016,年代史,500,400,1
2020/05/22 12:01:41,入場料,8000184,減免0円　敬老,0,,1
2020/05/22 12:54:25,入場料,8000181,入場料600円,600,,2
2020/05/22 13:35:03,入場料,8000181,入場料600円,600,,1
2020/05/22 14:03:41,入場料,8000181,入場料600円,600,,1
2020/05/22 15:29:02,入場料,8000181,入場料600円,600,,2
2020/05/22 17:56:56,入場料,8000184,減免0円　敬老,0,,1
2020/05/22 17:56:56,カフェ,36,抹茶,600,151.2,1
2020/05/22 17:56:56,イベント,8000319,予約制入場手数料,200,,1
2020/05/22 17:57:39,入場料,8000181,入場料600円,600,,1
2020/05/22 18:02:09,入場料,8000181,入場料600円,600,,1
2020/05/23 10:08:02,入場料,8000181,入場料600円,600,,5
2020/05/23 10:08:02,カフェ,36,抹茶,600,151.2,5
2020/05/23 10:08:20,入場料,8000184,減免0円　敬老,0,,1
2020/05/23 11:49:43,入場料,8000181,入場料600円,600,,2
2020/05/23 11:49:43,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 11:49:43,カフェ,8000040,冷抹茶,600,207,2
2020/05/23 11:52:43,カフェ,36,抹茶,600,151.2,1
2020/05/23 12:04:32,入場料,8000181,入場料600円,600,,2
2020/05/23 12:47:44,入場料,8000185,減免0円　手帳,0,,2
2020/05/23 12:48:48,入場料,8000184,減免0円　敬老,0,,2
2020/05/23 12:48:48,カフェ,36,抹茶,600,151.2,2
2020/05/23 12:48:48,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 12:50:08,入場料,8000184,減免0円　敬老,0,,2
2020/05/23 12:50:08,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 12:50:08,カフェ,8000040,冷抹茶,600,207,2
2020/05/23 12:50:46,入場料,8000184,減免0円　敬老,0,,1
2020/05/23 12:51:19,入場料,8000185,減免0円　手帳,0,,2
2020/05/23 13:05:21,入場料,8000181,入場料600円,600,,2
2020/05/23 13:08:28,入場料,8000181,入場料600円,600,,1
2020/05/23 13:56:48,入場料,8000181,入場料600円,600,,1
2020/05/23 15:14:26,入場料,8000184,減免0円　敬老,0,,1
2020/05/23 15:14:33,入場料,8000181,入場料600円,600,,1
2020/05/23 15:16:22,入場料,8000181,入場料600円,600,,1
2020/05/23 15:22:44,入場料,8000181,入場料600円,600,,2
2020/05/23 16:30:19,入場料,8000193,減免　その他特例,0,,1
2020/05/23 16:30:19,入場料,8000184,減免0円　敬老,0,,1
2020/05/23 16:30:19,入場料,8000185,減免0円　手帳,0,,1
2020/05/23 16:30:19,カフェ,36,抹茶,600,151.2,3
2020/05/23 17:05:52,入場料,8000181,入場料600円,600,,2
2020/05/23 17:05:52,カフェ,36,抹茶,600,151.2,2
2020/05/23 17:05:52,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 17:06:01,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 17:06:10,イベント,8000319,予約制入場手数料,200,,1
2020/05/23 17:07:13,イベント,8000319,予約制入場手数料,200,,5
2020/05/23 17:08:22,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 18:49:57,入場料,8000183,入場料100円,100,,1
2020/05/23 18:49:57,入場料,8000181,入場料600円,600,,1
2020/05/23 18:50:34,入場料,8000181,入場料600円,600,,2
2020/05/23 18:50:34,カフェ,36,抹茶,600,151.2,2
2020/05/23 18:50:34,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 18:50:51,入場料,8000181,入場料600円,600,,2
2020/05/23 18:50:51,カフェ,36,抹茶,600,151.2,2
2020/05/23 18:50:51,イベント,8000319,予約制入場手数料,200,,2
2020/05/23 18:51:53,物販,8000020,オリジナル手ぬぐい,600,340,1
2020/05/23 18:51:53,入場料,8000181,入場料600円,600,,1
2020/05/23 18:51:53,カフェ,36,抹茶,600,151.2,1
2020/05/23 18:51:53,イベント,8000319,予約制入場手数料,200,,1
2020/05/23 18:52:04,入場料,8000181,入場料600円,600,,2
2020/05/23 18:52:13,入場料,8000181,入場料600円,600,,1
2020/05/24 9:09:01,入場料,8000181,入場料600円,600,,2
2020/05/24 9:10:36,入場料,8000181,入場料600円,600,,2
2020/05/24 9:10:36,カフェ,36,抹茶,600,151.2,2
2020/05/24 9:10:36,イベント,8000319,予約制入場手数料,200,,2
2020/05/24 9:10:58,入場料,8000181,入場料600円,600,,1
2020/05/24 9:12:33,入場料,8000181,入場料600円,600,,2
2020/05/24 9:12:33,カフェ,36,抹茶,600,151.2,2
2020/05/24 9:12:33,イベント,8000319,予約制入場手数料,200,,2
2020/05/24 9:13:35,入場料,8000181,入場料600円,600,,2
2020/05/24 9:13:35,カフェ,36,抹茶,600,151.2,2
2020/05/24 9:13:35,イベント,8000319,予約制入場手数料,200,,2
2020/05/24 9:20:21,入場料,8000198,未就学児,0,,2
2020/05/24 9:21:17,入場料,8000181,入場料600円,600,,1
2020/05/24 9:23:45,入場料,8000181,入場料600円,600,,8
2020/05/24 10:55:44,入場料,8000181,入場料600円,600,,2
2020/05/24 10:55:44,カフェ,36,抹茶,600,151.2,2
2020/05/24 10:55:44,イベント,8000319,予約制入場手数料,200,,2
2020/05/24 11:06:44,入場料,8000181,入場料600円,600,,2
2020/05/24 11:06:44,カフェ,36,抹茶,600,151.2,2
2020/05/24 11:06:44,イベント,8000319,予約制入場手数料,200,,2
2020/05/24 11:59:29,入場料,8000181,入場料600円,600,,2
2020/05/24 11:59:29,カフェ,36,抹茶,600,151.2,2
2020/05/24 11:59:29,イベント,8000319,予約制入場手数料,200,,2
