タイムスタンプ,本キャンペーン(毎月28日は35歳未満の方無料)をどこで知りましたか？
2021-03-28 15:06:15,知らなかった
2021-03-28 15:19:33,知らなかった
2021-03-28 15:32:14,公式ホームページ
2021-03-28 15:56:36,知らなかった
2020-08-28 9:02:45,他のウェブサイト
2020-08-28 9:18:31,公式ホームページ
2020-08-28 9:20:17,公式ホームページ
2020-08-28 9:20:21,その他
2020-08-28 11:03:19,公式ホームページ
2020-08-28 11:03:44,公式ホームページ
2020-08-28 11:03:55,公式ホームページ
2020-08-28 14:06:42,お知り合い
2020-08-28 14:06:51,お知り合い
2020-08-28 14:37:37,知らなかった
2020-08-28 15:02:28,公式Twitter
2020-08-28 15:58:30,公式ホームページ
2020-06-28 9:28:29,知らなかった
2020-06-28 9:53:10,公式ホームページ
2020-06-28 10:26:00,公式ホームページ
2020-06-28 10:26:19,公式ホームページ
2020-06-28 11:03:02,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-06-28 11:03:57,公式Twitter
2020-06-28 11:19:54,お知り合い
2020-06-28 13:03:29,知らなかった
2020-06-28 14:05:04,公式ホームページ
2020-06-28 14:05:23,お知り合い
2020-06-28 14:06:13,公式ホームページ
2020-06-28 14:52:30,知らなかった
2020-06-28 17:25:34,公式Facebook
2020-06-28 17:25:41,知らなかった
2020-09-28 9:20:15,公式ホームページ
2020-09-28 9:21:09,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-09-28 9:21:36,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-09-28 10:22:59,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-09-28 10:23:15,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-09-28 10:23:25,公式ホームページ
2020-09-28 10:23:33,公式ホームページ
2020-09-28 10:37:48,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-09-28 12:09:27,雑誌・新聞
2020-09-28 12:51:36,雑誌・新聞
2020-09-28 15:01:54,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-09-28 15:16:08,公式Instagram
2020-09-28 15:16:21,お知り合い
2020-09-28 15:16:28,公式ホームページ
2020-09-28 15:46:20,公式ホームページ
2020-09-28 16:00:19,他のウェブサイト
2020-09-28 16:02:09,お知り合い
2020-09-28 16:40:29,その他
2020-09-28 16:59:13,知らなかった
2020-09-28 16:59:34,公式ホームページ
2020-09-28 17:07:12,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-02-28 11:16:32,知らなかった
2020-02-28 11:16:39,公式Twitter
2020-02-28 11:22:15,公式Instagram
2020-02-28 11:25:50,知らなかった
2020-02-28 11:25:55,知らなかった
2020-02-28 11:44:58,知らなかった
2020-02-28 12:24:42,お知り合い
2020-02-28 13:44:27,お知り合い
2020-02-28 14:15:20,公式Instagram
2020-02-28 14:38:52,知らなかった
2020-02-28 15:13:51,知らなかった
2020-02-28 15:20:05,知らなかった
2020-02-28 15:46:29,知らなかった
2020-02-28 16:10:51,知らなかった
2020-02-28 16:10:55,知らなかった
2020-02-28 16:16:39,知らなかった
2020-02-29 9:03:56,知らなかった
2020-03-28 11:03:55,知らなかった
2020-03-28 11:36:31,知らなかった
2020-03-28 11:36:40,知らなかった
2020-03-28 11:49:05,知らなかった
2020-03-28 12:08:30,知らなかった
2020-03-28 12:21:57,知らなかった
2020-03-28 12:28:04,知らなかった
2020-03-28 12:47:05,知らなかった
